Status,Subsystem,Supplier,Description,Qty.,Cost,Total Cost,Link
In Stock,Engine,Digikey,Ring Terminals,20,0.25,5.00,https://www.digikey.com/en/products/detail/phoenix-contact/3240084/3603842?utm_adgroup=Terminals%20-%20Ring%20Connectors&utm_source=google&utm_medium=cpc&utm_campaign=Shopping_Product_Connectors%2C%20Interconnects&utm_term=&utm_content=Terminals%20-%20Ring%20Connectors&gclid=Cj0KCQjw5JSLBhCxARIsAHgO2SdSAo6yk5-9xPcn0c1FNdd_EzV7ORZL3xBjGb8rWu1TH9ccDzu7BLcaAn_KEALw_wcB
In Stock,Engine,Preformance Electronics,Dual PE Wide Band Lambda Kit,1,466.65,466.65,https://pe-ltd.com/product/dual-wideband/
In Stock,Engine,Graves Motorsports,Smog Blockoff Plates,1,52.84,52.84,https://www.gravesport.com/products/graves-motorsports-smog-block-off-plates-for-yamaha-sportbikes.html
In Stock,Engine,Amazon,Bussmann 15303-5-2-4,2,45.99,91.98,https://www.amazon.com/Cooper-Bussmann-15303-5-2-4-Relays-Included/dp/B015YSWCDA/ref=cm_cr_arp_d_bdcrb_top?ie=UTF8
In Stock,Engine,Waytekwire,"Aptiv 12089040 Weather Pack Male Loose Terminal, 20-18GA ",50,0.14,7.17,https://www.waytekwire.com/item/30034/Aptiv-12089040-Weather-Pack-Male-Loose/
Canceled,Engine,Waytekwire,Fuse Panel for Dyno,1,33.64,33.64,https://www.waytekwire.com/item/46346/Mini-Fuse-Micro-Relay-RTMR/
Canceled,Engine,Lift Kits 4 Less,Fuel Filter,1,23.95,23.95,https://liftkits4less.com/edelbrock-650133-fuel-filter
Canceled,Engine,Waytekwire,Fuse Panel for CR-26,1,33.64,33.64,https://www.waytekwire.com/item/46346/Mini-Fuse-Micro-Relay-RTMR/
In Stock,Engine,Speedway Motors,Fuel cell foam,3,9.99,29.97,"https://www.speedwaymotors.com/Fuel-Cell-Anti-Slosh-Safety-Foam-Tank-Baffle-Inserts-14x4x6-Each,52163.html?sku=6007050&utm_medium=CSEGoogle&utm_source=CSE&utm_campaign=CSEGOOGLE&gclid=CjwKCAiA866PBhAYEiwANkIneMGEGRxMDF2hfFmodV9ynXHVQv0W2aQiH7I-U67qzYcXrVnsa8YU2hoCJpYQAvD_BwE"
In Stock,Engine,McMaster,"6""x24"" 5052 sheet .08 thick",1,18.55,18.55,https://www.mcmaster.com/88895K105-88895K25/
In Stock,Engine,Ebay,16T drive sprocket,1,10.99,10.99,https://www.ebay.com/itm/294683463541?chn=ps&_trkparms=ispr%3D1&amdata=enc%3A1Zro7QaRhR62phaoaw_y4eQ67&norover=1&mkevt=1&mkrid=711-117182-37290-0&mkcid=2&itemid=294683463541&targetid=1262375642056&device=c&mktype=&googleloc=1015640&poi=&campaignid=15275224983&mkgroupid=131097072938&rlsatarget=pla-1262375642056&abcId=9300697&merchantid=6296724&gclid=CjwKCAiA_omPBhBBEiwAcg7smdBxjo-wuc6zCq0k3diPdoMsTe6jxUxPsRUSLD_q6iII7wIv9ZxPsxoCSicQAvD_BwE
In Stock,Engine,Amazon,530 chain master link,2,5.99,11.98,https://www.amazon.com/TCMT-Connecting-Master-Yamaha-YZF600/dp/B010LFSUUU?th=1
In Stock,Engine,Partzilla,circlic,1,5.51,5.51,https://www.partzilla.com/product/yamaha/93440-25084-00?ref=b89aa9034de82763e6a1bab2bea79dab11112878
In Stock,Engine,Partzilla,lock washer,4,4.48,17.92,https://www.partzilla.com/product/yamaha/90215-21290-00?ref=b89aa9034de82763e6a1bab2bea79dab11112878
In Stock,Engine,AutoZone Auto Parts,mobil 1 racing 4t 10w-40 full synthetic,10,11.99,119.90,https://www.autozone.com/motor-oil-and-transmission-fluid/engine-oil/p/mobil-1-4-stroke-motorcycle-engine-oil-racing-4t-full-synthetic-10w-40-1-quart/153231_0_0?cmpid=LIA:US:EN:AD:NL:1000000:GEN:10574827360&gclid=Cj0KCQiA0eOPBhCGARIsAFIwTs7cFURkGWK2LMpeE6kGn-VHOS65qNczb-TM6hi8Tg0ft9LVGkwtICEaAi2fEALw_wcB&gclsrc=aw.ds
Canceled,Engine,Amazon,Brake Light,1,7.98,7.98,https://www.amazon.com/Blazer-CW1531R-4-Inch-Sealed-Marker/dp/B00827JVDU/ref=asc_df_B00827JVDU/?tag=hyprod-20&linkCode=df0&hvadid=309898128610&hvpos=&hvnetw=g&hvrand=5202346655207425477&hvpone=&hvptwo=&hvqmt=&hvdev=c&hvdvcmdl=&hvlocint=&hvlocphy=9017773&hvtargid=pla-568528069360&psc=1
In Stock,Engine,Amazon,"25 ft, 12 GA, Black and Red Silicon wire",1,29.98,29.98,https://www.amazon.com/BNTECHGO-Silicone-Flexible-Strands-Stranded/dp/B01CJJU6NU?ref_=ast_sto_dp&th=1&psc=1
In Stock,Engine,Amazon,"10ft, 8 GA, Red wire",1,16.98,16.98,https://www.amazon.com/BNTECHGO-Silicone-Flexible-Stranded-Impedance/dp/B01LWUCRQ2/ref=sr_1_17?keywords=8%2BAWG%2Bblack&qid=1552499449&s=gateway&sr=8-17&th=1
In Stock,Engine,eBay,Fuel cap,1,17.85,17.85,https://www.ebay.com/itm/164882555288?hash=item2663c42198:g:VZAAAOSwyFVgrFPs
In Stock,Engine,Speedway Motors,Aluminum weld bung AN6,5,6.41,32.05,"https://www.speedwaymotors.com/Earls-997106ERL-6-AN-Male-Weld-Fitting-Lightweight-Aluminum,146430.html"
In Stock,Engine,Amazon,Hose Clamps,1,11.99,11.99,https://www.amazon.com/TICONN-40PCS-Hose-Clamp-Set/dp/B08HJK3G92/ref=sr_1_1_sspa?keywords=radiator%2Bclamps&qid=1645283737&sr=8-1-spons&spLa=ZW5jcnlwdGVkUXVhbGlmaWVyPUE5QkNMN0kxRExJS1YmZW5jcnlwdGVkSWQ9QTAwNTc3MTM5UDFTM0FXSE1PU0MmZW5jcnlwdGVkQWRJZD1BMDYyNDM3NTNGTFgzQTUxRENJTlkmd2lkZ2V0TmFtZT1zcF9hdGYmYWN0aW9uPWNsaWNrUmVkaXJlY3QmZG9Ob3RMb2dDbGljaz10cnVl&th=1 
In Stock,Engine,Amazon,Borescope,1,67.99,67.99,https://www.amazon.com/DEPSTECH-Industrial-Inspection-Waterproof-Semi-Rigid/dp/B0928Q3T42/ref=sr_1_1_sspa?keywords=borescope&qid=1645737505&smid=AIRTAZFQ2QJOC&sprefix=boresc%2Caps%2C82&sr=8-1-spons&psc=1&spLa=ZW5jcnlwdGVkUXVhbGlmaWVyPUEzTDdZN0RQMjcyU05UJmVuY3J5cHRlZElkPUEwMzQxMTI3MjlaS1VLRENZWDIyMiZlbmNyeXB0ZWRBZElkPUEwMDI4ODk0MjJVTEI0WFpYRU9UTiZ3aWRnZXROYW1lPXNwX2F0ZiZhY3Rpb249Y2xpY2tSZWRpcmVjdCZkb05vdExvZ0NsaWNrPXRydWU=
In Stock,Engine,Amazon,Smog Block off plates,1,29.95,29.95,https://www.amazon.com/BlackPath-Yamaha-Induction-Motorcycle-Plates/dp/B08B8YT44T
In Stock,Engine,Partzilla,Valve Cover Gasket,2,25.23,50.46,https://www.partzilla.com/product/yamaha/5SL-11193-00-00?ref=cd6645c667abd73bbe6e133e5e0c1ccde3f1e7b0
In Stock,Engine,Amazon,"M16-1.5 to 1/8"" NPT adapter ",1,9.99,9.99,https://www.amazon.com/G%C2%B7PEH-Adapter-pressure-adapter-Engines/dp/B0894LDF76/ref=sr_1_2_sspa?keywords=M16-1.5+to+1%2F8%22+NPT+adapter&qid=1646258295&sr=8-2-spons&psc=1&spLa=ZW5jcnlwdGVkUXVhbGlmaWVyPUEzTUdNQzZNT0dYNFJQJmVuY3J5cHRlZElkPUEwNDEyOTc4Szg5Q0hETTNHTFNYJmVuY3J5cHRlZEFkSWQ9QTAwOTM0OTM0RE1LTzUyVkIxNDImd2lkZ2V0TmFtZT1zcF9hdGYmYWN0aW9uPWNsaWNrUmVkaXJlY3QmZG9Ob3RMb2dDbGljaz10cnVl
In Stock,Engine,Steel Wool Direct,“Muff Pack” – Repacking Kit For Mufflers Up To 15″ Long,1,32.45,32.45,https://shop.steelwooldirect.com/product/muff-pack-repacking-kit-for-mufflers-up-to-15-long/
In Stock,Engine,Steel Wool Direct,Ceramic Fiber Mat For Muffler Packing: 1/2″ X 24″ X 24″,1,29.93,29.93,https://shop.steelwooldirect.com/product/ceramic-fiber-mat-for-muffler-packing-1-2-x-24-x-24/
In Stock,Engine,Lowes,Ear Muffs,3,13.31,39.93,https://www.lowes.com/pd/Sellstrom-Noise-Cancelling-Lightweight-Safety-Ear-Muffs-with-Soft-EVA-Foam-Headband-27dB-NRR-Telescopic-Height-Adjustment-Universal-Fit-Black-Orange/1003084634
In Stock,Engine,Partzilla,Oil pan gasket,2,9.38,18.76,https://www.partzilla.com/product/yamaha/5SL-13414-00-00?ref=37cbdbcaba33d93d8b4bb637cfa63c66a8180eb9
In Stock,Engine,Digi-Key,4 pin deutsch connector male,10,2.43,24.30,https://www.digikey.com/en/products/detail/te-connectivity-deutsch-connectors/DT06-4S-E003/7219815
In Stock,Engine,Digi-Key,8 pin Deutsch connector female,2,3.84,7.68,https://www.digikey.com/en/products/detail/te-connectivity-deutsch-connectors/DT04-08PA-E004/7219842
In Stock,Engine,Digi-Key,8 pin deutsch connector male,1,4.48,4.48,https://www.digikey.com/en/products/detail/te-connectivity-deutsch-connectors/DT06-08SA-C015/7219744
In Stock,Engine,Custom Connectors,6 pin deutsch connector female,6,3.38,20.28,https://www.customconnectorkits.com/dt04-6p/?gclid=CjwKCAjwxOCRBhA8EiwA0X8hi3cuVm8V-UC8sCebIXMLvJcUA43TUQykEIVNfqvYObJQOesCEBYGkRoCB7MQAvD_BwE
In Stock,Engine,Digi-Key,Ring terminals for bus bars,100,0.07,7.42,https://www.digikey.com/en/products/detail/molex/0192030470/3185526
In Stock,Engine,Amazon,zip ties,1,15.99,15.99,https://www.amazon.com/Assorted-Plastic-Self-Locking-Management-Gardening/dp/B08TBM621K/ref=sr_1_12_sspa?keywords=zip+ties&qid=1647886459&sr=8-12-spons&psc=1&spLa=ZW5jcnlwdGVkUXVhbGlmaWVyPUE5NUc0WDROQ1NYSTEmZW5jcnlwdGVkSWQ9QTA5MDA1MTEzOEhQQ0ozMUozRzFGJmVuY3J5cHRlZEFkSWQ9QTA5NjkwNTEySDNQUVlZU0JQU1AyJndpZGdldE5hbWU9c3BfbXRmJmFjdGlvbj1jbGlja1JlZGlyZWN0JmRvTm90TG9nQ2xpY2s9dHJ1ZQ==
In Stock,Engine,Amazon,Fuel fill hose (5ft),1,40.00,40.00,https://www.amazon.com/Allstar-ALL40162-5-Length-Clear-Fuel/dp/B006K8JEUI/ref=asc_df_B006K8JEUI/?tag=hyprod-20&linkCode=df0&hvadid=312152566480&hvpos=&hvnetw=g&hvrand=16524582332886748168&hvpone=&hvptwo=&hvqmt=&hvdev=c&hvdvcmdl=&hvlocint=&hvlocphy=1015640&hvtargid=pla-568820485320&th=1
In Stock,Engine,Ebay,Coolant fitting,1,17.00,17.00,https://www.ebay.com/itm/283974690512
In Stock,Engine,mscdirect,"3/8"" barbed to 3/'4"" barbed",4,8.18,32.72,https://www.mscdirect.com/product/details/48711840
In Stock,Final Drive,Southwest Speed,11T Front Sprocket 520,1,39.99,39.99,https://www.southwestspeed.com/?sec=view_part&id=33874
In Stock,Final Drive,Southwest Speed,12T Front Sprocket 520,1,39.99,39.99,https://www.southwestspeed.com/?sec=view_part&id=30124
In Stock,Final Drive,JT Sprocket,40T Rear aluminum Sprocket,1,70.00,70.00,http://www.jtsprockets.com/catalogue/part/JTA478BLK/
In Stock,Final Drive,Adept Powersport," 3/8"" Wheel Studs",24,1.45,34.80,http://www.adeptpowersports.com/oem-parts/polaris-stud-7515513-part.html?gclid=CjwKCAiA66_xBRBhEiwAhrMuLSxCI52LwF_mH2HovHY5A01-u1XJ4sp1AmXv_p8M1iJS50-yIBAYIRoCmsMQAvD_BwE
In Stock,Final Drive,Ebay,Lug Nuts,2,25.95,51.90,https://www.ebay.com/itm/Set-of-16-ITP-Black-Tapered-Lug-Nuts-3-8x24-Polaris-Sportsman-RZR-Ranger-/261336347345?hash=item3cd8dc32d1:g:fN4AAOxydB1SgqKD&vxp=mtr
In Stock,Final Drive,RCV Performance,RCV Half Shaft,1,260.00,260.00,https://www.rcvperformance.com/rcv-fsae-axle-shaft-17.html
In Stock,Final Drive,RCV Performance,RCV Half Shaft,1,260.00,260.00,https://www.rcvperformance.com/rcv-fsae-axle-shaft-21.html
In Stock,Final Drive,Motosport.com,DID 520 ERT3 Racing Chain Master Link,2,3.99,7.98,https://www.motosport.com/product/?cc=us&gclid=CjwKCAiAwKyNBhBfEiwA_mrUMk07mGMhaxaVaBGb_6I4T83Np8hQhi0N4-l_1-O6j0xoh1ORu7jn6RoCgG4QAvD_BwE&gclsrc=aw.ds&key=DID-520-ERT3-Racing-Chain-Master-Link&pssource=true&segment=badger&utm_medium=pla&utm_source=google&variant[DID001Q]=DID001Q-X001-Y001
In Stock,Final Drive,Motosport.com,DID 520 ERT3 Racing Chain,1,97.01,97.01,https://www.motosport.com/did-520-ert3-racing-chain?variant[DID001P]=DID001P-X001-Y001
In Stock,Final Drive,RCV Performance,RCV Tripod ,5,105.00,525.00,https://www.rcvperformance.com/rcv-fsae-lightened-tripod-for-tripod-housings.html
In Stock,Final Drive,RCV Performance,RCV Housing Boot,3,12.00,36.00,https://www.rcvperformance.com/rcv-fsae-rear-wheel-hub-housing-boot.html
In Stock,Final Drive,RCV Performance,RCV Triangular Boot,3,12.00,36.00,https://www.rcvperformance.com/rcv-fsae-triangular-tripod-housing-boot.html
In Stock,Final Drive,RCV Performance,RCV Tripod Housing,1,260.00,260.00,https://www.rcvperformance.com/rcv-fsae-drexler-inboard-tripod-housing-short.html
In Stock,Final Drive,RCV Performance,RCV Tripod Housing,1,260.00,260.00,https://www.rcvperformance.com/fsae/tripod-housings.html
In Stock,Final Drive,Autotech,Copper Washer,6,0.40,2.40,https://autotech.com/i-30499429-spare-drexler-fs-copper-washer-dsd-100-900-0012-x3-required.html
In Stock,Final Drive,Autotech,Cap Screw Socket Head,6,4.00,24.00,https://autotech.com/i-30499430-spare-drexler-fs-cap-screw-socket-head-dsd-240-900-0010-x3-required.html
In Stock,Final Drive,Autotech,Drexler O-Ring,4,3.00,12.00,https://autotech.com/i-30499456-spare-drexler-o-ring-fsae-cap-din-iso-3601-1-75-00x2-40x1-60.html
In Stock,Final Drive,Autotech,Disc Spring,2,23.00,46.00,https://autotech.com/i-30499422-spare-drexler-fs-disc-spring-gear-1-00-1-70-dsd-240-080-0102.html
In Stock,Final Drive,Revzilla,38T 520 Rear Sprocket (Red),1,60.91,60.91,https://www.revzilla.com/motorcycle/vortex-520-rear-sprocket-kawasaki?sku_id=1259464
In Stock,Final Drive,Revzilla,39T 520 Rear Sprocket (Black),1,60.91,60.91,https://www.revzilla.com/motorcycle/vortex-520-rear-sprocket-kawasaki?sku_id=1259465
In Stock,Final Drive,Amazon,MIKKUPPA CV Boot Clamp,0,8.49,0.00,https://www.amazon.com/MIKKUPPA-CV-Boot-Clamp-Pack/dp/B07KXDBBVC/ref=dp_prsubs_1?pd_rd_i=B07KXDBBVC&th=1
In Stock,Engine,Summit,"1 3/8"" 1.375"" Diameter 2"" CLR Stainless Steel Mandrel Bends Brushed Finish 145 degree",8,32.80,262.40,https://www.summitracing.com/parts/kok-jb1382016304
In Stock,Engine,Ebay,06-09 R6S Injector Wiring Subharness,1,10.20,10.20,https://www.ebay.com/itm/254602766959
In Stock,Engine,Ebay,07 R6S Coils Wiring Subharness,1,19.88,19.88,https://www.ebay.com/itm/224672882128?epid=1111868754
In Stock,Engine,Low dollar motorsports,150 PSI Pressure & Temperature Combo 150 PSI / 500*F,1,89.99,89.99,https://lowdoller-motorsports.com/collections/combo-pressure-and-temp-sensors/products/150-psi-pressure-temperature-combo-150-psi-500-f-pn-899404
In Stock,Engine,Ebay,Exhaust header,1,92.44,92.44,https://www.ebay.com/itm/275179316881?hash=item4011f72691:g:QvoAAOSwwkZg9iwR#vi-desc-maincntr
Hold Off,Engine,Ebay,Thottle body assembly,1,60.99,60.99,https://www.ebay.com/itm/143773014625?fits=Year%3A2008%7CModel%3AYZF+R6S%7CMake%3AYamaha%7CSubmodel%3A--&hash=item21798a1a61:g:oVAAAOSwrnNfe8qE
In Stock,Engine,Amazon,"LA CHOPPERS LA-1220-24 2"" x 24"" Universal Baffle/Packing Baffle (Stainless Tube)",1,34.67,34.67,https://www.amazon.com/CHOPPERS-1220-24-Universal-Packing-Stainless/dp/B0041CAFXK
In Stock,Engine,Amazon,Deutsch Pin Removal Tool Right Angle,1,10.90,10.90,https://www.amazon.com/JRready-DRK-RT1-Standard-Suitable-Connectors/dp/B07WJ7R1KV/?hvadid=533235061664&hvpos=&hvnetw=g&hvrand=14154582725523248930&hvpone=&hvptwo=&hvqmt=&hvdev=m&hvdvcmdl=&hvlocint=&hvlocphy=1015640&hvtargid=pla-1375127329152&psc=1
In Stock,Engine,Amazon,Removal Tool for Deutsch Contacts,1,5.99,5.99,https://www.amazon.com/Removal-Tool-Deutsch-Contacts-0411-310-1605/dp/B00DBCEQY0
In Stock,Engine,Amazon,"1.625"" Stainless 90° Mandrel Bend Elbow - 1D Tight Radius - 16GA/.065"" Wall - No Leg - SS304 - Stainless Bros",3,10.00,30.00,https://www.amazon.com/1-625-Stainless-Mandrel-Bend-Elbow/dp/B08PNZNL9S
In Stock,Engine,Amazon,Connectors for wheel speed sensors,1,10.99,10.99,https://www.amazon.com/BTF-LIGHTING-Plastics-Waterproof-connctor-Applicable/dp/B01LCV8LGA/ref=sr_1_10?keywords=3%2Bpin%2Bwaterproof%2Bconnector&qid=1650466900&sr=8-10&th=1
In Stock,Engine,McMaster,"1/4""-20 Closed End Rivnuts ",3,8.27,24.81,https://www.mcmaster.com/98280A410/
In Stock,Engine,Speedway Motors,3/8 npt plugs,1,8.45,8.45,"https://www.speedwaymotors.com/Earls-AT593204ERL-3-8-Inch-NPT-Internal-Wrenching-Plug-Aluminum-Pair,146546.html"
In Stock,Engine,Ebay,"Yamaha YZF R6 & YZF R6S, 1999-2009, Exhaust Gasket Kit",3,12.96,38.88,https://www.ebay.com/itm/384441335869?hash=item59827d403d:g:a1oAAOSwZwFhk71P
In Stock,Electrical,DigiKey,Motor Controller board,1,90.00,90.00,https://www.digikey.com/en/products/detail/texas-instruments/DRV8873SEVM/9860010
In Stock,Electrical,Amazon,Arduino compatible GPS board,1,26.98,26.98,https://www.amazon.com/DIYmalls-Receiver-Raspberry-Aircraft-Betaflight/dp/B086ZKFFY4/ref=sr_1_1_sspa?crid=2DEXORCWY988V&keywords=bn880&qid=1650933284&sprefix=bn+880%2Caps%2C85&sr=8-1-spons&psc=1&spLa=ZW5jcnlwdGVkUXVhbGlmaWVyPUFIUVg0VUU0SDcxTDkmZW5jcnlwdGVkSWQ9QTA4NDY0MjAxV0VXTE1ENDdIRExTJmVuY3J5cHRlZEFkSWQ9QTAzNzUzNDBFRjhCNEZQSUQ4QTYmd2lkZ2V0TmFtZT1zcF9hdGYmYWN0aW9uPWNsaWNrUmVkaXJlY3QmZG9Ob3RMb2dDbGljaz10cnVl
In Stock,Engine,McMaster,"1-1/2"" OD, 0.083"" Wall Thickness Aluminum Tube (1 foot length)",2,20.18,40.36,https://www.mcmaster.com/9390N35-9390N184/
In Stock,Engine,Ebay,03-06 R6 Yamaha YZF 06-09 R6S TPS Throttle Bodies Body INJECTORS Complete #0116,1,79.99,79.99,https://www.ebay.com/itm/255497154056?hash=item3b7cd12e08:g:a6IAAOSw4KJiX2VF
In Stock,Engine,Amazon,Ignition Coil 4pk,1,63.99,63.99,https://www.amazon.com/dp/B08K35D18T/ref=cm_sw_r_oth_api_glt_fabc_GTQAR351EG84W48QXCRV?_encoding=UTF8
In Stock,Engine,AutoZone Auto Parts,mobil 1 racing 4t 10w-40 full synthetic,10,11.99,119.90,https://www.autozone.com/motor-oil-and-transmission-fluid/engine-oil/p/mobil-1-4-stroke-motorcycle-engine-oil-racing-4t-full-synthetic-10w-40-1-quart/153231_0_0?cmpid=LIA:US:EN:AD:NL:1000000:GEN:10574827360&gclid=Cj0KCQiA0eOPBhCGARIsAFIwTs7cFURkGWK2LMpeE6kGn-VHOS65qNczb-TM6hi8Tg0ft9LVGkwtICEaAi2fEALw_wcB&gclsrc=aw.ds
In Stock,Engine,AutoZone Auto Parts,Brake clean,4,5.99,23.96,https://www.autozone.com/brake-and-power-steering-fluid-additives/brake-cleaner/p/crc-brakleen-brake-parts-cleaner-19oz/119712_0_0
In Stock,Engine,Oreillys,Synthetic Oil Filter,1,18.99,18.99,https://www.oreillyauto.com/detail/c/xp/filters/engine-oil-filter/80c2d8dbb188/wix-xp-oil-filter/wixx/51358xp
In Stock,Engine,Amazon,Oil filter,1,19.20,19.20,https://www.amazon.com/WIX-Filters-51358-Spin-Filter/dp/B0030GZJG6/ref=sr_1_2?crid=1D97JOH9SUZAZ&keywords=wix+oil+filter+51358&qid=1651761049&sprefix=wix+oil+filter+51358%2Caps%2C89&sr=8-2
In Stock,Engine,Amazon,Tesa Tape for looming,1,14.25,14.25,https://www.amazon.com/Tesa-Adhesive-Wiring-Original-Isoband/dp/B00XPBB6L8/ref=sr_1_4?crid=7JX72J6WIBBN&keywords=tesa+tape&qid=1651760500&sprefix=tessa+tale%2Caps%2C97&sr=8-4
In Stock,Engine,Amazon,Battery charger lead,1,12.95,12.95,https://www.amazon.com/Tecmate-Optimate-Weatherproof-Battery-powersport/dp/B0022ZZULK/ref=sr_1_3?crid=3ACT63ZBLEHKP&keywords=optimate%2Bcharger%2Bcable&qid=1651760114&sprefix=optimate%2Bcharger%2Bcable%2Caps%2C83&sr=8-3&th=1
In Stock,Electrical,Amazon,New ESP boards with Antenna headers,1,18.99,18.99,https://www.amazon.com/ESP32-CAM-MB-Aideepen-ESP32-CAM-Bluetooth-Arduino/dp/B0948ZFTQZ/ref=pd_lpo_1?pd_rd_i=B0948ZFTQZ&th=1
In Stock,Electrical,Amazon,Antenna adapters,1,7.49,7.49,https://www.amazon.com/HiLetgo-Wireless-Antenna-Extension-NRF24L01/dp/B01HXU1PKS/ref=sr_1_3?keywords=ufl+to+sma&qid=1652140976&sr=8-3 
In Stock,Electrical,Amazon,Antennas,1,7.99,7.99,https://www.amazon.com/Bingfu-Rosewill-Gigabyte-Wireless-Security/dp/B09J8Q6TRN/ref=sr_1_3?keywords=sma%2Bantenna&qid=1652141094&sr=8-3&th=1
In Stock,Engine,Amazon,Combustion Gas Tester,1,36.99,7.99,https://www.amazon.com/Block-Tester-BT-500-Combustion-Leak/dp/B06VVBSFTF/ref=pd_lpo_1?pd_rd_i=B06VVBSFTF&psc=1
In Stock,Engine,Amazon,Iridium spark plugs (4 total in pack),1,33.52,33.52,https://www.amazon.com/NGK-CR9EIX-Iridium-Spark-4-Pack/dp/B004SKYAWM/ref=pd_sbs_4/133-8087239-0536611?pd_rd_w=jdh4K&pf_rd_p=690958f6-2825-419e-9c16-73ffd4055b65&pf_rd_r=WGDW9Q48AAP8QB2NTAJF&pd_rd_r=c949c7e9-7f61-4c85-a820-a26065d23dea&pd_rd_wg=kFBXD&pd_rd_i=B004SKYAWM&psc=1
In Stock,Engine,Ebay,R6 Header,1,100.00,100.00,https://www.ebay.com/itm/154910011806?fits=Make%3AYamaha&hash=item24115b319e:g:-3IAAOSwkXRiG9iD
In Stock,Engine,McMaster,fuel resistant o-ring,3,9.43,28.29,https://www.mcmaster.com/3642N13/
In Stock,Engine,McMaster,"safety wire 1/4-20 x 3/4"" hex head bolt",3,13.01,39.03,https://www.mcmaster.com/90124A540/
In Stock,Engine,Amazon,Valve Shim Kit,1,72.07,72.07,https://www.amazon.com/Hot-Cams-HCSHIM01-Shim-Kit/dp/B000UKM6LG/ref=sr_1_4?keywords=Hot+Cams&qid=1652973461&sr=8-4
In Stock,Chassis,Amazon,Oracle 751 vinyl (5 white 1 black),6,13.77,82.62,https://www.amazon.com/Long-Term-Plotters-Including-Detailer-Squeegee/dp/B07XSCNQH1/ref=sr_1_3?crid=SVGFMDYCBXMN&keywords=oracal%2B751&qid=1654110180&sprefix=oracle%2B751%2Caps%2C90&sr=8-3&th=1
In Stock,Chassis,Amazon,ORACAL Clear Transfer Paper Tape,3,15.97,47.91,https://www.amazon.com/ORACAL-Transfer-Yellow-Detailer-Squeegee/dp/B073XTBMP8/ref=sr_1_10?crid=T7F0FBDU47UF&keywords=oracal%2Btransfer%2Btape%2Bfor%2Bvinyl&qid=1654126939&sprefix=oracal%2Bt%2Caps%2C97&sr=8-10&th=1
Ordered,Engine,K&N ,Air filter,1,69.99,69.99,https://www.knfilters.com/rc-2500-universal-clamp-on-air-filter
